ProductName,ProductSubcategory,StateProvinceCode,ProductCategory,Sales_Type,ResellerName,SalesOrderNumber,OrderFrequency,StoreAge,City,CountryRegionCode,Region,CustomerKey,ResellerKey,ProductKey,OrderDate,ShipDate,UnitPrice,OrderQuantity,YearOpened,Profit,NumberEmployees,AnnualSales,AnnualRevenue,TotalProductCost,SalesAmount,DiscountAmount
"Sport-100 Helmet, Red",Helmets,SL,Accessories,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,214,2018-12-18,2018-10-29,20.99,4,2000,31.6308,22,1000000,100000,52.3452,83.98,0
"Sport-100 Helmet, Black",Helmets,SL,Accessories,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,217,2018-12-18,2018-10-29,20.99,5,2000,39.5385,22,1000000,100000,65.4315,104.97,0
"Sport-100 Helmet, Black",Helmets,SL,Accessories,Reseller Sales,Bicycle Warehouse Inc.,SO53609,A,new,Frankfurt am Main,DE,EU,14,14,217,2018-12-18,2018-10-29,20.99,2,2000,15.8154,22,1000000,100000,26.1726,41.99,0
"Sport-100 Helmet, Blue",Helmets,SL,Accessories,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,222,2018-12-18,2018-10-29,20.99,2,2000,15.8154,22,1000000,100000,26.1726,41.99,0
"Sport-100 Helmet, Blue",Helmets,SL,Accessories,Reseller Sales,Bicycle Warehouse Inc.,SO53609,A,new,Frankfurt am Main,DE,EU,14,14,222,2018-12-18,2018-10-29,20.99,1,2000,7.9077,22,1000000,100000,13.0863,20.99,0
AWC Logo Cap,Caps,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,225,2018-12-18,2018-10-29,5.39,4,2000,-6.1132,22,1000000,100000,27.6892,21.58,0
AWC Logo Cap,Caps,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO53609,A,new,Frankfurt am Main,DE,EU,14,14,225,2018-12-18,2018-10-29,5.39,3,2000,-4.5849,22,1000000,100000,20.7669,16.18,0
AWC Logo Cap,Caps,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO59053,A,new,Frankfurt am Main,DE,EU,14,14,225,2019-03-22,2019-01-27,5.39,1,2000,-1.5283,22,1000000,100000,6.9223,5.39,0
"Long-Sleeve Logo Jersey, L",Jerseys,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO53608,A,new,Frankfurt am Main,DE,EU,14,14,234,2018-12-18,2018-10-29,29.99,2,2000,-16.9966,22,1000000,100000,76.9846,59.99,0
"Long-Sleeve Logo Jersey, L",Jerseys,SL,Clothing,Reseller Sales,Bicycle Warehouse Inc.,SO53609,A,new,Frankfurt am Main,DE,EU,14,14,234,2018-12-18,2018-10-29,29.99,1,2000,-8.4983,22,1000000,100000,38.4923,29.99,0
